threshold,accuracy,precision,recall,f1
0.3,0.17777777777777778,0.17777777777777778,1.0,0.3018867924528302
0.35,0.17777777777777778,0.17777777777777778,1.0,0.3018867924528302
0.4,0.36666666666666664,0.2191780821917808,1.0,0.3595505617977528
0.45,0.5777777777777777,0.2962962962962963,1.0,0.45714285714285713
0.5,0.8277777777777777,0.5079365079365079,1.0,0.6736842105263158
0.55,0.8777777777777778,1.0,0.3125,0.47619047619047616
0.6000000000000001,0.8222222222222222,0.0,0.0,0.0
0.6500000000000001,0.8222222222222222,0.0,0.0,0.0
0.7000000000000001,0.8222222222222222,0.0,0.0,0.0
0.75,0.8222222222222222,0.0,0.0,0.0
0.8,0.8222222222222222,0.0,0.0,0.0
0.8500000000000001,0.8222222222222222,0.0,0.0,0.0
0.9,0.8222222222222222,0.0,0.0,0.0
